Experiment ID                :  TravelingSalesman
Problem Type                 :  TS
Data Input File Name         :  NA
Number of Runs               :  30
Generations per Run          :  100
Population Size              :  40
Selection Method             :  1
Fitness Scaling Type         :  1
Min or Max Fitness           :  min
Crossover Type               :  2
Crossover Rate               :  0.05
Mutation Type                :  2
Mutation Rate                :  0.0
Random Number Seed           :  75982
Number of Genes/Points       :  48
Size of Genes                :  1


 R   5 G  70 2717.62223   2717.622        0.0
 R   5 G  71 2717.62223   2717.622        0.0
 R   5 G  72 2717.62223   2717.622        0.0
 R   5 G  73 2717.62223   2717.622        0.0
 R   5 G  74 2717.62223   2717.622        0.0
 R   5 G  75 2717.62223   2717.622        0.0
 R   5 G  76 2717.62223   2717.622        0.0
 R   5 G  77 2717.62223   2717.622        0.0
 R   5 G  78 2717.62223   2717.622        0.0
 R   5 G  79 2717.62223   2717.622        0.0
 R   5 G  80 2717.62223   2717.622        0.0
 R   5 G  81 2717.62223   2717.622        0.0
 R   5 G  82 2717.62223   2717.622        0.0
 R   5 G  83 2717.62223   2717.622        0.0
 R   5 G  84 2717.62223   2717.622        0.0
 R   5 G  85 2717.62223   2717.622        0.0
 R   5 G  86 2717.62223   2717.622        0.0
 R   5 G  87 2717.62223   2717.622        0.0
 R   5 G  88 2717.62223   2717.622        0.0
 R   5 G  89 2717.62223   2717.622        0.0
 R   5 G  90 2717.62223   2717.622        0.0
 R   5 G  91 2717.62223   2717.622        0.0
 R   5 G  92 2717.62223   2717.622        0.0
 R   5 G  93 2717.62223   2717.622        0.0
 R   5 G  94 2717.62223   2717.622        0.0
 R   5 G  95 2717.62223   2717.622        0.0
 R   5 G  96 2717.62223   2717.622        0.0
 R   5 G  97 2717.62223   2717.622        0.0
 R   5 G  98 2717.62223   2717.622        0.0
 R   5 G  99 2717.62223   2717.622        0.0
5     30 R   6 G   0 9335.97072  20220.068   5842.613
 R   6 G   1 8956.87462  18977.614   5087.989
 R   6 G   2 8956.87462  17019.484   4877.871
 R   6 G   3 8956.87462  16937.189   3311.665
 R   6 G   4 8956.87462  16171.465    3755.14
 R   6 G   5 9335.97072  15164.645   3521.441
 R   6 G   6 9335.97072  13715.541   3376.613
 R   6 G   7 9335.97072  13297.131   3348.031
 R   6 G   8 9335.97072  12858.298   4089.878
 R   6 G   9 9335.97072  11458.495   3312.317
 R   6 G  10 9335.97072  10080.828   2120.904
 R   6 G  11 9335.97072    9650.34   1399.841
 R   6 G  12 9335.97072   9766.563   1765.926
 R   6 G  13 9335.97072    9732.51   1760.628
 R   6 G  14 9335.97072   9513.414   1122.253
 R   6 G  15 9335.97072   9513.414   1122.253
 R   6 G  16 9335.97072   9335.971        0.0
